City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,rainfall 1hr,snowfall 1hr,Date
195,Mar Del Plata,AR,-38.0,-57.56,53.6,45,0,12.75,clear sky,0.0,0.0,2020-06-14 19:26:12
196,Taoudenni,ML,22.68,-3.98,107.37,10,0,11.74,clear sky,0.0,0.0,2020-06-14 19:27:52
197,Nikolskoye,RU,59.7,30.79,68.0,45,6,6.71,clear sky,0.0,0.0,2020-06-14 19:28:24
198,Cidreira,BR,-30.18,-50.21,54.39,64,6,5.19,clear sky,0.0,0.0,2020-06-14 19:28:24
199,Paita,PE,-5.09,-81.11,70.11,68,0,15.59,clear sky,0.0,0.0,2020-06-14 19:28:24
200,Finschhafen,PG,-6.6,147.87,79.9,74,0,8.23,clear sky,0.0,0.0,2020-06-14 19:28:25
201,Cabo San Lucas,MX,22.89,-109.91,91.4,43,5,14.99,clear sky,0.0,0.0,2020-06-14 19:28:25
202,Nishihara,JP,26.18,127.76,82.4,100,20,10.29,few clouds,0.0,0.0,2020-06-14 19:28:25
203,Piacabucu,BR,-10.41,-36.43,78.75,78,0,12.5,clear sky,0.0,0.0,2020-06-14 19:28:25
204,Lianzhou,CN,24.78,112.38,76.8,87,100,3.4,overcast clouds,0.0,0.0,2020-06-14 19:28:02
205,Muros,ES,42.78,-9.06,62.01,81,94,10.0,overcast clouds,0.0,0.0,2020-06-14 19:28:16
206,Kpandu,GH,7.0,0.29,77.97,89,100,10.18,overcast clouds,0.0,0.0,2020-06-14 19:28:26
207,Wahiawa,US,21.5,-158.02,82.4,69,75,11.41,broken clouds,0.0,0.0,2020-06-14 19:28:26
208,Oyama,JP,36.3,139.8,75.0,94,75,1.12,mist,0.0,0.0,2020-06-14 19:28:27
209,Kamenica,DE,50.83,12.92,66.0,88,100,5.44,light rain,0.4,0.0,2020-06-14 19:28:27
210,Coihaique,CL,-45.58,-72.07,48.2,76,20,2.24,few clouds,0.0,0.0,2020-06-14 19:28:27
